"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","or_conf_low","or_conf_high","significant_05"
"reason_1",2.06996494871466,0.232540277445332,8.90153297938367,5.5080590136764e-19,1.62308661490233,2.53598458030159,7.92454534748121,5.06871135610245,12.6288588545074,TRUE
"reason_3",2.63971311954866,0.393396697192903,6.71005409649962,1.94552274897666e-11,1.9067834481143,3.4602320277426,14.0091840701489,6.7314020350201,31.8243597924341,TRUE
"transportation_expense",0.0119918204726846,0.00198863220017559,6.03018520550241,1.6377188485522e-09,0.00818443574653877,0.0159937424136619,1.012064010627,1.00821801980044,1.01612232691301,TRUE
"children",0.4137579845065,0.0998615740495875,4.14331526860415,3.42320833033185e-05,0.22030202233835,0.612606747827315,1.51249103632182,1.24645313043304,1.8452351977578,TRUE
"pets",-0.35398900027256,0.0986274248684598,-3.58915383570724,0.000331753037398085,-0.555273324832551,-0.166370650378703,0.701882687831194,0.573915374433273,0.846732334359058,TRUE
"(Intercept)",-3.46395177118893,1.22512297131806,-2.82743190053992,0.0046922994410772,-5.88763705199381,-1.0760456069048,0.031305803878767,0.00277352264981139,0.340941078515809,TRUE
"body_mass_index",0.0738430832188042,0.0291975094219584,2.5290884284558,0.0114359210493982,0.0170728897354661,0.131765467303009,1.07663784969468,1.01721946448078,1.14084072343677,TRUE
"age",-0.0427283130623253,0.0188824555237576,-2.26285786870067,0.0236444522689746,-0.0800309480557217,-0.00585701408737479,0.9581716774359,0.923087778172578,0.99416010478151,TRUE
"day_of_week",-0.118838065054718,0.0674035645555736,-1.76308279596604,0.0778865263916472,-0.251921699264035,0.0126801946483734,0.887951579510675,0.77730559928667,1.01276092919892,FALSE
"month_value",0.0285593267781323,0.0273326836627023,1.04487825383586,0.296079241575493,-0.0250209345730748,0.0822698984594001,1.0289710545612,0.975289494545425,1.08574881221904,FALSE
"distance_to_work",-0.00598784854023112,0.00734065709450391,-0.815710155527404,0.414665929267915,-0.0204505736089314,0.00837358174556128,0.994030042896623,0.979757121136401,1.00840873824127,FALSE
"reason_2",0.651603909293494,0.913529273117119,0.713281914951788,0.475671326167504,-1.20499942453695,2.50339692908205,1.91861564795779,0.299692171974968,12.2239473960592,FALSE
"education_binary",-0.147805217326443,0.295417140374007,-0.500327154813418,0.616844736563302,-0.73110394127696,0.42935779155597,0.862599117941878,0.481377284404229,1.53627060072502,FALSE
"daily_work_load_average",-0.000414602184180185,0.00241990570714285,-0.171329892299688,0.863964377296878,-0.00517676019154871,0.00432791058338424,0.999585483751429,0.994836616139518,1.0043372895139,FALSE
"reason_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
